T,strike,rf,dividend,v0,kappa,sigma,rho,theta,lambda_parameter,nuUp,nuDown,p,price,original_iv
286,104.588,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,24.5837,0.788241,
275,24.8493,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,73.1282,0.839178,
18,71.6271,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,28.5045,0.836365,
67,147.471,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,2.29667,0.770891,
69,120.559,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,5.62863,0.716421,
215,26.8309,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,71.5877,0.849951,
279,127.078,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,18.0379,0.789327,
202,48.2484,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,52.544,0.805979,
346,143.535,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,17.7018,0.796965,
31,68.9198,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,31.3358,0.789186,
18,110.508,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,1.72259,0.586147,
287,72.6767,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,38.098,0.791857,
69,116.559,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,6.51561,0.712406,
32,76.2573,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,24.5,0.722638,
11,92.9502,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,8.21178,0.554393,
358,64.8438,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,44.2207,0.798105,
324,42.9583,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,57.8601,0.808022,
99,76.6023,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,27.9998,0.756066,
180,73.0889,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,34.0905,0.7801,
306,33.9056,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,65.0245,0.818267,
209,41.6838,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,58.1192,0.815749,
342,217.233,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,8.8509,0.810541,
