T,strike,rf,dividend,v0,kappa,sigma,rho,theta,price,original_iv
71,93.9938,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,13.339,0.584088,
108,121.792,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,4.76059,0.531146,
21,123.92,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.0239378,0.365729,
66,110.046,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,5.36613,0.533361,
111,165.363,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.328429,0.466482,
48,81.3019,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,20.8882,0.638437,
258,55.8306,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,46.6305,0.633364,
288,35.1444,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,64.6166,0.664267,
23,97.9458,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,6.6022,0.552045,
93,102.067,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,10.5889,0.565679,
98,137.469,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.60764,0.496798,
25,112.9,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.03519,0.455374,
116,110.902,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,8.457,0.553533,
332,29.335,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,69.9395,0.666811,
291,30.514,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,68.8848,0.673922,
101,106.749,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,9.09174,0.557363,
95,51.3646,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,48.8939,0.712495,
70,120.159,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.85115,0.508197,
341,41.7846,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,58.9003,0.642216,
34,127.427,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.145729,0.409891,
140,89.3416,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,19.932,0.594309,
253,155.093,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,4.93269,0.539771,
108,141.782,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.53825,0.497837,
222,72.391,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,33.6136,0.614033,
311,43.1699,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,57.5764,0.64468,
